ENSEMBL	ENTREZID
ENSG00000166004	85459
ENSG00000181333	341208
ENSG00000263465	10929
ENSG00000149218	23052
ENSG00000110318	57562
ENSG00000023445	330
ENSG00000255337	101928424
ENSG00000166670	4319
ENSG00000293047	NA
ENSG00000196611	4312
ENSG00000204397	114769
ENSG00000110723	23086
ENSG00000149289	85463
ENSG00000137710	5962
ENSG00000110777	5450
ENSG00000150764	85458
ENSG00000109906	7704
ENSG00000149591	6876
ENSG00000186318	23621
ENSG00000160588	196264
ENSG00000118058	4297
ENSG00000284246	102466719
ENSG00000110375	7379
ENSG00000149428	10525
ENSG00000172269	1798
ENSG00000176984	107984399
ENSG00000137642	6653
ENSG00000110002	4013
ENSG00000154146	4900
ENSG00000150433	219854
ENSG00000149557	9638
ENSG00000149557	105369550
ENSG00000110080	6484
ENSG00000134954	2113
ENSG00000166106	170689
ENSG00000251226	729305
ENSG00000139044	283358
ENSG00000060237	65125
ENSG00000139190	6843
ENSG00000111641	4839
ENSG00000111674	2026
ENSG00000111684	10162
ENSG00000182326	716
ENSG00000159403	715
ENSG00000111215	5554
ENSG00000111215	11272
ENSG00000111269	1389
ENSG00000293237	NA
ENSG00000151491	2059
ENSG00000118308	4033
ENSG00000064115	51768
ENSG00000087494	5744
ENSG00000139117	144402
ENSG00000205592	283463
ENSG00000139174	144165
ENSG00000061273	51564
ENSG00000174243	9416
ENSG00000172602	27289
ENSG00000123416	10376
ENSG00000167552	7846
ENSG00000167553	84790
ENSG00000167588	2819
ENSG00000185432	25840
ENSG00000110911	4891
ENSG00000185479	3854
ENSG00000186081	3852
ENSG00000139651	283337
ENSG00000139625	7786
ENSG00000094916	23468
ENSG00000161638	3678
ENSG00000258056	105369779
ENSG00000170515	5036
ENSG00000181852	10193
ENSG00000135473	9924
ENSG00000170581	6773
ENSG00000166881	23306
ENSG00000166886	4665
ENSG00000179912	22864
ENSG00000135452	6302
ENSG00000111012	1594
ENSG00000118596	9194
ENSG00000111110	57460
ENSG00000135677	2799
ENSG00000139291	55266
ENSG00000121749	64786
ENSG00000253719	552889
ENSG00000186908	23390
ENSG00000139304	374462
ENSG00000133639	694
ENSG00000187510	440107
ENSG00000139351	50511
ENSG00000136048	55332
ENSG00000111696	51559
ENSG00000111727	29915
